run_id,implementation,platform,security,benchmark,duration_s,total_cams,throughput_cams_s,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,sign_latency_mean_us
9,rust,laptop,on,tx,60,296096,4934.9,202.52,718.27,182.9,220.11,513.76,54.99,54516.24,0
10,rust,laptop,on,tx,60,297322,4955.4,201.68,721.02,182.92,217.29,473.82,145.5,53942.22,0
11,rust,laptop,on,tx,60,296726,4945.4,202.09,719.08,182.91,217.43,492.91,89.56,54165.64,0
12,rust,laptop,on,tx,60,295936,4932.3,202.63,730.12,182.97,221.59,510.14,125.76,51809.21,0
13,rust,laptop,on,tx,60,296475,4941.2,202.26,719.16,182.98,223.17,474.11,35.6,54186.44,0
14,rust,laptop,on,tx,60,298356,4972.6,200.98,722.09,182.95,212.2,471.17,51.64,53581.39,0
15,rust,laptop,on,tx,60,297504,4958.4,201.56,714.34,182.91,210.14,513.08,37.39,51077.13,0
16,rust,laptop,on,tx,60,297674,4961.2,201.44,721.42,182.91,211.43,476.35,42.51,54084.67,0
17,rust,laptop,on,tx,60,296565,4942.7,202.03,715.72,182.92,218.62,480.08,68.66,51290.97,0
18,rust,laptop,on,tx,60,295768,4929.5,202.74,721.51,182.92,219.72,514.19,84.21,54101.04,0
19,rust,laptop,on,tx,60,296972,4949.5,201.92,716.44,182.93,219.97,478.57,96.29,50699.61,0
20,rust,laptop,on,tx,60,296376,4939.6,202.33,715.16,182.92,218.57,513.53,70.14,53246.09,0
21,rust,laptop,on,tx,60,295643,4927.4,202.83,718.77,182.94,224.97,512.75,148.73,52917.45,0
22,rust,laptop,on,tx,60,296322,4938.7,202.36,745.65,182.91,217.68,477.89,116.96,93276.34,0
23,rust,laptop,on,tx,60,297228,4953.8,201.75,719.44,182.94,216.57,474.8,47.49,51675.12,0
24,rust,laptop,on,tx,60,296720,4945.3,202.09,730.35,182.9,212.7,490.72,36.93,52839.02,0
25,rust,laptop,on,tx,60,296234,4937.2,202.42,718.04,182.91,221.2,513.4,94.6,50923.88,0
26,rust,laptop,on,tx,60,297650,4960.8,201.46,721.51,182.89,215.48,472.62,111.7,53942.61,0
27,rust,laptop,on,tx,60,297492,4958.2,201.57,716.3,182.92,211.89,482.66,109.56,54243.91,0
28,rust,laptop,on,tx,60,297212,4953.5,201.76,714.85,182.91,214.69,494.17,98.08,54366.18,0
29,rust,laptop,on,tx,60,296176,4936.3,202.47,716.66,182.89,215.49,514.03,95.61,50651.73,0
30,rust,laptop,on,tx,60,298150,4969.2,201.12,717.95,182.92,212.9,472.35,42.32,54159.16,0
1,rust,laptop,off,codec-encode,60,5917238,98620.6,10.08,159.45,9.16,10.8,21.53,8.78,51082.32,0
2,rust,laptop,off,codec-encode,60,5908602,98476.7,10.08,158.28,9.19,10.6,21.03,8.79,50484.1,0
3,rust,laptop,off,codec-encode,60,5925400,98756.6,10.06,159.38,9.12,11.69,21.47,8.75,52939.96,0
4,rust,laptop,off,codec-encode,60,5871492,97858.2,10.16,159.95,9.19,12.43,21.78,8.79,53426.24,0
5,rust,laptop,off,codec-encode,60,5942741,99045.7,10.04,159.22,9.12,10.75,21.5,8.67,52461.75,0
6,rust,laptop,off,codec-encode,60,5948088,99134.8,10.03,159.14,9.13,10.66,20.82,8.73,52424.7,0
7,rust,laptop,off,codec-encode,60,5953410,99223.5,10.02,159.13,9.13,10.24,21.44,8.73,52414.43,0
8,rust,laptop,off,codec-encode,60,5952699,99211.6,10.02,159.03,9.14,9.9,20.58,8.76,52308.81,0
9,rust,laptop,off,codec-encode,60,5978536,99642.3,9.97,158.65,9.11,9.75,20.5,8.71,53836.6,0
10,rust,laptop,off,codec-encode,60,5929380,98823,10.05,157.97,9.16,9.99,20.54,8.78,53846.38,0
11,rust,laptop,off,codec-encode,60,5977323,99622,9.98,158.5,9.11,9.55,20.2,8.72,53711.26,0
12,rust,laptop,off,codec-encode,60,5993913,99898.5,9.95,158.46,9.13,9.41,20.03,8.74,50149.56,0
13,rust,laptop,off,codec-encode,60,5985894,99764.9,9.95,155.57,9.14,9.41,20.24,8.76,52815.7,0
14,rust,laptop,off,codec-encode,60,5989528,99825.5,9.95,157,9.13,9.41,20.22,8.77,50570.85,0
15,rust,laptop,off,codec-encode,60,5984787,99746.4,9.97,158.66,9.14,9.43,20.01,8.75,53229.33,0
16,rust,laptop,off,codec-encode,60,5979098,99651.6,9.97,157.18,9.17,9.44,20.24,8.74,51216.68,0
17,rust,laptop,off,codec-encode,60,6011399,100190,9.91,156.94,9.11,9.35,20.41,8.73,53977.54,0
18,rust,laptop,off,codec-encode,60,5998085,99968.1,9.95,158.49,9.14,9.4,20.14,8.77,52533.4,0
19,rust,laptop,off,codec-encode,60,5960620,99343.6,10,157.47,9.17,9.46,20.12,8.8,53669.39,0
20,rust,laptop,off,codec-encode,60,6017849,100297.5,9.91,158.16,9.12,9.36,20.14,8.73,50196.59,0
21,rust,laptop,off,codec-encode,60,6006632,100110.5,9.93,158.22,9.12,9.39,19.96,8.75,53829.96,0
22,rust,laptop,off,codec-encode,60,5996240,99937.3,9.95,158.38,9.14,9.4,20.17,8.76,51323.4,0
23,rust,laptop,off,codec-encode,60,5989999,99833.3,9.96,158.48,9.14,9.42,20.06,8.77,51894.53,0
24,rust,laptop,off,codec-encode,60,5977852,99630.9,9.97,157.32,9.15,9.39,21.41,8.77,52479.68,0
25,rust,laptop,off,codec-encode,60,5983749,99729.1,9.97,158.58,9.16,9.42,20.07,8.78,53048.87,0
26,rust,laptop,off,codec-encode,60,5981934,99698.9,9.96,157.36,9.14,9.41,20.49,8.76,51679.41,0
27,rust,laptop,off,codec-encode,60,5987014,99783.6,9.96,158.57,9.13,9.43,20.13,8.76,53269.55,0
28,rust,laptop,off,codec-encode,60,5951246,99187.4,10.02,157.95,9.15,9.51,20.29,8.75,51976.04,0
29,rust,laptop,off,codec-encode,60,5986424,99773.7,9.96,157.28,9.17,9.42,19.57,8.79,52392.72,0
30,rust,laptop,off,codec-encode,60,6018780,100313,9.91,158.11,9.14,9.36,20.32,8.7,51685.15,0
1,rust,laptop,off,codec-decode,60,20975918,349598.6,2.8,84.01,2.58,2.67,5.74,2.45,51658.51,0
2,rust,laptop,off,codec-decode,60,20918359,348639.3,2.81,84.76,2.58,2.69,5.66,2.45,51115.9,0
3,rust,laptop,off,codec-decode,60,20847887,347464.8,2.82,84.17,2.59,2.7,5.67,2.46,50477.03,0
4,rust,laptop,off,codec-decode,60,20893945,348232.4,2.81,84.03,2.58,2.69,5.72,2.44,52774.59,0
5,rust,laptop,off,codec-decode,60,20877092,347951.5,2.81,84.14,2.58,2.69,5.69,2.45,51253,0
6,rust,laptop,off,codec-decode,60,20899500,348325,2.81,83.48,2.58,2.69,5.73,2.45,52474.28,0
7,rust,laptop,off,codec-decode,60,20825527,347092.1,2.83,85.03,2.58,2.7,5.73,2.45,50957.32,0
8,rust,laptop,off,codec-decode,60,20988082,349801.4,2.8,84.07,2.58,2.68,5.71,2.46,52401.41,0
9,rust,laptop,off,codec-decode,60,20912123,348535.4,2.81,84.79,2.58,2.69,5.69,2.46,51412.01,0
10,rust,laptop,off,codec-decode,60,20878883,347981.4,2.82,84.05,2.58,2.69,5.66,2.44,50569.03,0
11,rust,laptop,off,codec-decode,60,20891432,348190.5,2.81,82.89,2.58,2.69,5.71,2.45,52408.12,0
12,rust,laptop,off,codec-decode,60,19864590,331076.5,2.96,87.11,2.71,2.83,6.01,2.57,52500.88,0
13,rust,laptop,off,codec-decode,60,20940416,349006.9,2.81,84.08,2.58,2.69,5.65,2.44,52430.17,0
14,rust,laptop,off,codec-decode,60,20844501,347408.3,2.82,84.88,2.58,2.69,5.72,2.45,50750.98,0
15,rust,laptop,off,codec-decode,60,20888780,348146.3,2.81,82.78,2.58,2.69,5.7,2.45,50736.61,0
16,rust,laptop,off,codec-decode,60,20794924,346582,2.83,84.27,2.58,2.7,5.74,2.45,52331.76,0
17,rust,laptop,off,codec-decode,60,20916781,348613,2.81,83.91,2.58,2.69,5.7,2.45,52985.26,0
18,rust,laptop,off,codec-decode,60,20858822,347647,2.82,83.52,2.58,2.68,5.79,2.46,51811.09,0
19,rust,laptop,off,codec-decode,60,20931420,348857,2.81,83.95,2.58,2.69,5.66,2.45,51483.9,0
20,rust,laptop,off,codec-decode,60,20921212,348686.9,2.81,84.21,2.58,2.67,5.85,2.44,52382.83,0
21,rust,laptop,off,codec-decode,60,20915272,348587.9,2.81,82.51,2.58,2.68,5.7,2.46,50622.12,0
22,rust,laptop,off,codec-decode,60,20840875,347347.9,2.81,82.15,2.58,2.7,5.67,2.45,51902.6,0
23,rust,laptop,off,codec-decode,60,20703901,345065,2.84,83.73,2.6,2.73,5.71,2.46,50573.26,0
24,rust,laptop,off,codec-decode,60,20811092,346851.5,2.82,82.98,2.58,2.7,5.71,2.45,52896.69,0
25,rust,laptop,off,codec-decode,60,20874837,347913.9,2.82,84.85,2.58,2.69,5.72,2.46,50733.05,0
26,rust,laptop,off,codec-decode,60,20928930,348815.5,2.81,83.99,2.57,2.68,5.71,2.45,53081.72,0
27,rust,laptop,off,codec-decode,60,20902188,348369.8,2.81,84.85,2.58,2.69,5.72,2.45,52554.3,0
28,rust,laptop,off,codec-decode,60,20895382,348256.3,2.81,83.35,2.58,2.69,5.7,2.45,53666.36,0
29,rust,laptop,off,codec-decode,60,20858889,347648.1,2.82,84.89,2.58,2.69,5.74,2.45,52123.96,0
30,rust,laptop,off,codec-decode,60,20755813,345930.2,2.83,83.58,2.58,2.71,5.67,2.46,51626.03,0
1,cpython_3.13,laptop,off,codec-decode,60,2211850,36864.2,26.77,258.73,24.61,26.38,54.11,23.12,51875.54,0
2,cpython_3.13,laptop,off,codec-decode,60,2178858,36314.3,27.21,262.85,24.91,26.98,55.23,23.25,50614.74,0
3,cpython_3.13,laptop,off,codec-decode,60,2216100,36935,26.75,260.97,24.55,26.24,54.35,23.08,52402.68,0
4,cpython_3.13,laptop,off,codec-decode,60,2206620,36777,26.84,259.53,24.66,26.44,54.11,23.17,52047.47,0
5,cpython_3.13,laptop,off,codec-decode,60,2200777,36679.6,26.93,259.58,24.76,26.41,54.44,23.16,54036.96,0
6,cpython_3.13,laptop,off,codec-decode,60,2169122,36152,27.33,263.61,24.97,27.29,55.35,23.31,53318.48,0
7,cpython_3.13,laptop,off,codec-decode,60,2182018,36366.9,27.16,260.79,24.94,26.86,54.07,23.37,51873.66,0
8,cpython_3.13,laptop,off,codec-decode,60,2212383,36873,26.81,260.99,24.52,26.68,54.28,23.02,52581.52,0
9,cpython_3.13,laptop,off,codec-decode,60,2206801,36780,26.87,261.51,24.67,26.41,54.54,23.12,52680.15,0
10,cpython_3.13,laptop,off,codec-decode,60,2187547,36459.1,27.08,260.75,24.82,26.82,54.96,23.29,50884.85,0
11,cpython_3.13,laptop,off,codec-decode,60,2209359,36822.6,26.84,261.56,24.64,26.34,54.1,23.14,51515.32,0
12,cpython_3.13,laptop,off,codec-decode,60,2227254,37120.9,26.61,260.36,24.47,26.25,52.17,22.98,53171.01,0
13,cpython_3.13,laptop,off,codec-decode,60,2226502,37108.4,26.6,257.86,24.45,26.3,52.97,22.94,50587.53,0
14,cpython_3.13,laptop,off,codec-decode,60,2232845,37214.1,26.56,259.98,24.4,26.13,54.24,22.91,52466.1,0
15,cpython_3.13,laptop,off,codec-decode,60,2221832,37030.5,26.67,260.35,24.51,26.18,54.38,22.95,52664.54,0
16,cpython_3.13,laptop,off,codec-decode,60,2152082,35868,27.52,264.65,25.23,27.11,56.14,23.68,50818.3,0
17,cpython_3.13,laptop,off,codec-decode,60,2215252,36920.9,26.74,258.9,24.56,26.46,54.14,22.99,53323.88,0
18,cpython_3.13,laptop,off,codec-decode,60,2204868,36747.8,26.87,259.18,24.62,26.49,54.72,23.11,50784.96,0
19,cpython_3.13,laptop,off,codec-decode,60,2211137,36852.3,26.77,256.41,24.63,26.34,54.27,23.13,51295.7,0
20,cpython_3.13,laptop,off,codec-decode,60,2191878,36531.3,27.04,262.4,24.88,26.61,52.57,23.37,53033.47,0
21,cpython_3.13,laptop,off,codec-decode,60,2212693,36878.2,26.75,256.35,24.61,26.25,54.42,23.09,52681.61,0
22,cpython_3.13,laptop,off,codec-decode,60,2198277,36637.9,26.95,261.9,24.74,26.67,53.28,23.24,50540.68,0
23,cpython_3.13,laptop,off,codec-decode,60,2215117,36918.6,26.77,261.06,24.59,26.21,54.81,23.06,53794.27,0
24,cpython_3.13,laptop,off,codec-decode,60,2222717,37045.3,26.68,260.37,24.41,26.38,54.47,22.84,51457.82,0
25,cpython_3.13,laptop,off,codec-decode,60,2191438,36524,27.05,262.3,24.88,26.45,55.17,23.39,52442.24,0
26,cpython_3.13,laptop,off,codec-decode,60,2177792,36296.5,27.22,263.05,24.97,26.96,54.19,23.47,53800.69,0
27,cpython_3.13,laptop,off,codec-decode,60,2215578,36926.3,26.75,260.96,24.53,26.36,54.49,23.08,50507.65,0
28,cpython_3.13,laptop,off,codec-decode,60,2188957,36482.6,27.07,260.46,24.88,26.6,54.66,23.4,52305.78,0
29,cpython_3.13,laptop,off,codec-decode,60,2193134,36552.2,27.04,262.35,24.8,26.68,54.58,23.22,53106.7,0
30,cpython_3.13,laptop,off,codec-decode,60,2185800,36430,27.09,260.2,24.9,26.63,54.75,23.32,51548.43,0
1,rust,laptop,on,security-sign,60,301833,5030.5,198.71,708.45,182.78,189.36,403.85,181.25,52731.64,198.71
2,rust,laptop,on,security-sign,60,301349,5022.5,199.03,708.45,182.75,190.79,404.52,181.31,53005.6,199.03
3,rust,laptop,on,security-sign,60,301694,5028.2,198.81,708.72,182.71,187.42,405.94,181.24,52967.99,198.81
4,rust,laptop,on,security-sign,60,301441,5024,198.97,708.96,182.74,190.87,404.46,181.24,51383.42,198.97
5,rust,laptop,on,security-sign,60,301803,5030,198.73,706.8,182.79,189.29,403.38,181.2,51119.45,198.73
6,rust,laptop,on,security-sign,60,302242,5037.4,198.45,708.1,182.78,189.05,404.57,181.14,53541.81,198.45
7,rust,laptop,on,security-sign,60,301972,5032.8,198.62,707.67,182.76,189.48,404.15,181.23,50890.59,198.62
8,rust,laptop,on,security-sign,60,302020,5033.7,198.59,707.4,182.74,189.65,397.77,181.24,51790.53,198.59
9,rust,laptop,on,security-sign,60,302112,5035.2,198.53,707.32,182.76,189.69,403.27,181.21,52603.05,198.53
10,rust,laptop,on,security-sign,60,301435,5023.9,198.98,708.26,182.78,189.18,403.91,181.31,52097.32,198.98
11,rust,laptop,on,security-sign,60,302197,5036.6,198.48,707.63,182.74,187.43,404.27,181.17,52007.54,198.48
12,rust,laptop,on,security-sign,60,302347,5039.1,198.38,707.38,182.73,188.94,404.28,181.25,52781.42,198.38
13,rust,laptop,on,security-sign,60,301654,5027.6,198.83,708.58,182.75,189.29,409.28,181.28,53646.19,198.83
14,rust,laptop,on,security-sign,60,302068,5034.5,198.56,708.17,182.77,189.38,404.15,181.22,51853.41,198.56
15,rust,laptop,on,security-sign,60,302061,5034.3,198.57,708.63,182.73,188.75,404.71,181.26,52322.08,198.57
16,rust,laptop,on,security-sign,60,299313,4988.5,200.39,711.78,184.28,190.91,407.98,182.76,52942.07,200.39
17,rust,laptop,on,security-sign,60,302100,5035,198.54,707.66,182.76,188.67,404.01,181.24,50824.69,198.54
18,rust,laptop,on,security-sign,60,301635,5027.2,198.85,709.11,182.75,189.11,407.6,181.24,52542.24,198.85
19,rust,laptop,on,security-sign,60,301569,5026.1,198.89,707.89,182.77,188.58,405.45,181.21,51187.51,198.89
20,rust,laptop,on,security-sign,60,301776,5029.6,198.75,708.05,182.73,189.18,405.06,181.21,54033.36,198.75
21,rust,laptop,on,security-sign,60,301861,5031,198.69,708.57,182.74,189.12,404.24,181.25,52411.26,198.69
22,rust,laptop,on,security-sign,60,301846,5030.8,198.71,709.8,182.71,188.21,407.91,181.22,52888.46,198.71
23,rust,laptop,on,security-sign,60,301826,5030.4,198.72,708.13,182.77,188.78,403.99,181.27,52949.6,198.72
24,rust,laptop,on,security-sign,60,301264,5021,199.09,709.06,182.74,189.41,405.5,181.18,54160.98,199.09
25,rust,laptop,on,security-sign,60,301912,5031.8,198.66,707.44,182.71,188.58,403.52,181.2,52480.99,198.66
26,rust,laptop,on,security-sign,60,299148,4985.8,200.5,711.15,184.31,192.98,406.78,182.74,52514.24,200.5
27,rust,laptop,on,security-sign,60,301826,5030.4,198.72,708.94,182.75,188.66,404.44,181.32,53018.22,198.72
28,rust,laptop,on,security-sign,60,301364,5022.7,199.02,709.06,182.76,191.5,403.49,181.28,54120.1,199.02
29,rust,laptop,on,security-sign,60,299141,4985.7,200.5,710.98,184.27,191.24,406.99,182.72,51786.65,200.5
30,rust,laptop,on,security-sign,60,301167,5019.4,199.15,708.61,182.73,192.07,404.91,181.27,52975.31,199.15
1,rust,laptop,off,rx,60,1179083,19651.4,3.12,0.91,3.04,3.42,5.77,2.68,155.2,0
2,rust,laptop,off,rx,60,1183074,19717.9,3.12,0.97,3.03,3.42,5.71,2.68,160.88,0
3,rust,laptop,off,rx,60,1149432,19157.2,3.16,1,3.04,3.47,6.17,2.67,175.85,0
4,rust,laptop,off,rx,60,1102957,18382.6,3.16,1.89,3.02,3.47,6.43,2.66,1121.32,0
5,rust,laptop,off,rx,60,1152665,19211.1,3.13,0.93,3.04,3.42,6.11,2.67,384.94,0
6,rust,laptop,off,rx,60,1168809,19480.1,3.11,0.73,3.04,3.4,5.46,2.68,158.34,0
7,rust,laptop,off,rx,60,1162734,19378.9,3.14,0.87,3.04,3.46,6.11,2.66,168.17,0
8,rust,laptop,off,rx,60,1154539,19242.3,3.1,0.67,3.03,3.4,5.39,2.69,79.46,0
9,rust,laptop,off,rx,60,1192899,19881.6,3.11,0.73,3.05,3.42,5.58,2.69,166.54,0
10,rust,laptop,off,rx,60,1173257,19554.3,3.1,0.92,3.04,3.4,5.44,2.68,221.7,0
11,rust,laptop,off,rx,60,1179167,19652.8,3.12,0.95,3.03,3.44,5.38,2.68,472.88,0
12,rust,laptop,off,rx,60,1173937,19565.6,3.11,1.09,3.03,3.4,5.58,2.68,193.21,0
13,rust,laptop,off,rx,60,1193116,19885.2,3.12,1.23,3.04,3.41,5.77,2.68,547.94,0
14,rust,laptop,off,rx,60,1189493,19824.9,3.11,1.15,3.02,3.4,5.58,2.69,333.13,0
15,rust,laptop,off,rx,60,1167779,19463,3.13,1.01,3.04,3.43,6.14,2.69,337.8,0
16,rust,laptop,off,rx,60,1183526,19725.4,3.1,1.33,3.04,3.39,5.34,2.68,1112.24,0
17,rust,laptop,off,rx,60,1194836,19913.9,3.13,1.4,3.04,3.41,5.85,2.69,705.33,0
18,rust,laptop,off,rx,60,1190463,19841,3.1,1.55,3.04,3.38,5.43,2.69,1317.47,0
19,rust,laptop,off,rx,60,1192695,19878.2,3.1,0.74,3.03,3.42,5.34,2.68,229.44,0
20,rust,laptop,off,rx,60,1192234,19870.6,3.11,0.87,3.04,3.4,5.58,2.68,177.19,0
21,rust,laptop,off,rx,60,1184291,19738.2,3.12,3.1,3.03,3.44,5.65,2.69,1765.01,0
22,rust,laptop,off,rx,60,1187614,19793.6,3.09,0.73,3.03,3.39,4.95,2.69,173.68,0
23,rust,laptop,off,rx,60,1166649,19444.1,3.12,1.05,3.01,3.47,5.77,2.66,202.78,0
24,rust,laptop,off,rx,60,1185397,19756.6,3.12,1.04,3.04,3.42,5.6,2.69,491.26,0
25,rust,laptop,off,rx,60,1187664,19794.4,3.13,1.1,3.03,3.42,5.75,2.68,202.65,0
26,rust,laptop,off,rx,60,1182628,19710.4,3.11,0.94,3.04,3.41,5.53,2.68,183.39,0
27,rust,laptop,off,rx,60,1182575,19709.6,3.11,0.92,3.04,3.4,5.33,2.67,236.1,0
28,rust,laptop,off,rx,60,1177802,19630,3.1,0.89,3.03,3.39,5.51,2.68,341.76,0
29,rust,laptop,off,rx,60,1174927,19582.1,3.14,1.18,3.01,3.48,6.23,2.64,169.49,0
30,rust,laptop,off,rx,60,1168852,19480.8,3.11,0.95,3.02,3.41,5.71,2.67,183.15,0
1,pypy_3.11,rpi5,off,tx,60.000,2040047,34000.7,29.09,28.55,27.85,29.52,48.91,24.11,16874.56,0.00
2,pypy_3.11,rpi5,off,tx,60.000,1858747,30979.1,31.95,37.88,30.30,36.11,55.39,24.46,15946.85,0.00
3,pypy_3.11,rpi5,off,tx,60.000,2310076,38501.2,25.68,31.47,24.31,27.43,45.05,22.28,14392.52,0.00
4,pypy_3.11,rpi5,off,tx,60.000,1952545,32542.4,30.46,32.22,29.35,31.00,49.81,24.43,13984.78,0.00
5,pypy_3.11,rpi5,off,tx,60.000,2075974,34599.5,28.61,29.52,27.50,29.02,47.72,22.87,16015.56,0.00
6,pypy_3.11,rpi5,off,tx,60.000,2269429,37823.8,26.14,27.17,24.63,28.26,45.04,21.87,14595.72,0.00
7,pypy_3.11,rpi5,off,tx,60.000,1569670,26161.1,37.90,31.22,36.87,39.81,58.98,27.15,14074.41,0.00
8,pypy_3.11,rpi5,off,tx,60.000,2091782,34863.0,28.38,27.82,27.28,28.78,47.52,23.61,14516.50,0.00
9,pypy_3.11,rpi5,off,tx,60.000,2007162,33452.7,29.56,30.24,27.72,38.07,49.74,23.89,14392.83,0.00
10,pypy_3.11,rpi5,off,tx,60.000,1968112,32801.8,30.21,37.69,29.06,30.76,49.78,23.94,15624.57,0.00
11,pypy_3.11,rpi5,off,tx,60.000,1740802,29013.3,34.13,31.87,32.81,37.91,55.28,27.04,14619.26,0.00
12,pypy_3.11,rpi5,off,tx,60.000,1623959,27066.0,36.60,39.04,35.67,39.63,60.07,24.52,15425.59,0.00
13,pypy_3.11,rpi5,off,tx,60.000,1960024,32667.0,30.30,32.31,29.20,30.94,52.78,24.50,16128.59,0.00
14,pypy_3.11,rpi5,off,tx,60.000,1715459,28591.0,34.61,35.06,31.83,41.65,55.89,24.91,13858.87,0.00
15,pypy_3.11,rpi5,off,tx,60.000,1703645,28394.0,34.95,35.29,33.85,36.95,56.17,26.07,13960.59,0.00
16,pypy_3.11,rpi5,off,tx,60.000,2040389,34006.5,29.08,32.65,27.78,29.98,49.54,23.89,15510.15,0.00
17,pypy_3.11,rpi5,off,tx,60.000,1595005,26583.4,37.26,38.93,36.61,40.13,57.57,25.13,16238.06,0.00
18,pypy_3.11,rpi5,off,tx,60.000,1663682,27728.0,35.68,34.92,34.70,38.74,57.83,24.24,13874.81,0.00
19,pypy_3.11,rpi5,off,tx,60.000,1604687,26744.8,37.07,35.40,36.04,39.39,58.83,26.89,14322.18,0.00
20,pypy_3.11,rpi5,off,tx,60.000,2097640,34960.6,28.31,31.79,27.24,28.78,47.17,23.50,13898.15,0.00
21,pypy_3.11,rpi5,off,tx,60.000,1891175,31519.6,31.42,32.66,30.17,32.72,52.65,24.67,15334.56,0.00
22,pypy_3.11,rpi5,off,tx,60.000,2334793,38913.2,25.40,31.57,24.17,26.50,44.30,22.02,15898.48,0.00
23,pypy_3.11,rpi5,off,tx,60.000,1979452,32990.8,29.98,32.16,28.91,30.50,49.46,23.82,15346.54,0.00
24,pypy_3.11,rpi5,off,tx,60.000,1981394,33023.2,30.00,37.35,28.89,30.59,48.69,23.70,16320.72,0.00
25,pypy_3.11,rpi5,off,tx,60.000,2035141,33919.0,29.18,33.06,27.80,30.00,50.26,23.91,17352.89,0.00
26,pypy_3.11,rpi5,off,tx,60.000,1903967,31732.8,31.20,29.99,30.04,32.96,50.96,24.76,16483.70,0.00
27,pypy_3.11,rpi5,off,tx,60.000,1690851,28180.8,35.21,37.72,34.13,36.59,57.20,27.13,15710.30,0.00
28,pypy_3.11,rpi5,off,tx,60.000,1959536,32658.9,30.30,32.49,29.15,30.85,50.39,24.32,15464.42,0.00
29,pypy_3.11,rpi5,off,tx,60.000,1831321,30522.0,32.45,31.55,31.28,33.20,52.70,26.00,14902.96,0.00
30,pypy_3.11,rpi5,off,tx,60.000,1969501,32825.0,30.13,28.65,29.11,30.70,49.55,24.06,14629.46,0.00
1,pypy_3.11,rpi5,off,codec-encode,60.000,3221232,53687.2,18.36,17.66,17.89,18.80,33.31,16.37,13990.37,0.00
2,pypy_3.11,rpi5,off,codec-encode,60.000,3198266,53304.4,18.50,19.86,18.13,19.02,32.30,16.61,13839.32,0.00
3,pypy_3.11,rpi5,off,codec-encode,60.000,3229429,53823.8,18.32,23.13,17.78,18.83,33.06,16.04,15239.96,0.00
4,pypy_3.11,rpi5,off,codec-encode,60.000,3197994,53299.9,18.48,16.02,18.07,19.13,32.50,16.37,14713.63,0.00
5,pypy_3.11,rpi5,off,codec-encode,60.000,3163605,52726.7,18.67,21.16,18.15,19.09,33.15,16.56,13825.81,0.00
6,pypy_3.11,rpi5,off,codec-encode,60.000,3202109,53368.4,18.48,23.68,18.00,18.98,33.48,16.24,15205.56,0.00
7,pypy_3.11,rpi5,off,codec-encode,60.000,3212275,53537.9,18.41,20.12,17.96,19.15,32.54,16.20,14059.21,0.00
8,pypy_3.11,rpi5,off,codec-encode,60.000,3217259,53620.9,18.37,11.62,17.98,19.07,32.33,16.33,11205.59,0.00
9,pypy_3.11,rpi5,off,codec-encode,60.000,3284886,54748.1,18.03,22.98,17.59,18.44,33.30,16.02,14094.31,0.00
10,pypy_3.11,rpi5,off,codec-encode,60.000,3171195,52853.2,18.62,17.51,18.11,19.13,32.13,16.39,13849.83,0.00
11,pypy_3.11,rpi5,off,codec-encode,60.000,3224660,53744.3,18.34,15.31,17.89,18.74,34.04,16.39,13851.17,0.00
12,pypy_3.11,rpi5,off,codec-encode,60.000,3272995,54549.9,18.08,20.92,17.63,18.46,32.85,16.09,13922.92,0.00
13,pypy_3.11,rpi5,off,codec-encode,60.000,3169577,52826.3,18.65,12.73,18.11,19.00,32.89,16.63,11350.52,0.00
14,pypy_3.11,rpi5,off,codec-encode,60.000,3242824,54047.0,18.21,11.91,17.76,18.61,32.98,16.22,11423.76,0.00
15,pypy_3.11,rpi5,off,codec-encode,60.000,3207239,53453.9,18.44,20.50,17.93,18.78,32.19,16.22,13893.71,0.00
16,pypy_3.11,rpi5,off,codec-encode,60.000,3248025,54133.7,18.21,23.78,17.78,18.80,32.19,16.15,13929.43,0.00
17,pypy_3.11,rpi5,off,codec-encode,60.000,3214177,53569.6,18.41,20.67,18.00,18.93,32.80,16.32,13952.27,0.00
18,pypy_3.11,rpi5,off,codec-encode,60.000,3178150,52969.1,18.57,20.37,18.13,18.96,32.80,16.61,13876.34,0.00
19,pypy_3.11,rpi5,off,codec-encode,60.000,3225677,53761.2,18.32,26.13,17.67,18.50,33.56,16.15,13920.51,0.00
20,pypy_3.11,rpi5,off,codec-encode,60.000,3250421,54173.6,18.19,20.13,17.76,18.65,32.22,16.28,13928.65,0.00
21,pypy_3.11,rpi5,off,codec-encode,60.000,3246513,54108.5,18.23,20.38,17.80,18.70,33.59,16.24,13900.48,0.00
22,pypy_3.11,rpi5,off,codec-encode,60.000,3209427,53490.4,18.43,21.17,17.93,18.95,34.15,16.32,13964.15,0.00
23,pypy_3.11,rpi5,off,codec-encode,60.000,3213556,53559.2,18.39,17.55,17.93,18.80,33.70,16.39,15675.21,0.00
24,pypy_3.11,rpi5,off,codec-encode,60.000,3231501,53858.3,18.31,22.69,17.93,18.82,32.70,16.37,13900.33,0.00
25,pypy_3.11,rpi5,off,codec-encode,60.000,3185347,53089.1,18.59,23.46,18.11,19.17,32.20,16.37,13881.03,0.00
26,pypy_3.11,rpi5,off,codec-encode,60.000,3184555,53075.9,18.59,22.84,18.15,19.04,33.28,16.59,14105.23,0.00
27,pypy_3.11,rpi5,off,codec-encode,60.000,3229809,53830.1,18.32,20.85,17.85,18.78,32.83,16.30,13948.47,0.00
