run_id,implementation,platform,security,benchmark,duration_s,total_cams,throughput_cams_s,latency_mean_us,latency_std_us,latency_p50_us,latency_p95_us,latency_p99_us,latency_min_us,latency_max_us,sign_latency_mean_us
25,rust-cv2x,mk6,off,codec-encode,60,466804,7780.1,127.89,7.04,126.38,132.64,166.01,124.88,290.15,0
26,rust-cv2x,mk6,off,codec-encode,60,465741,7762.3,128.2,7.83,126.51,133.89,169.26,125.01,397.66,0
27,rust-cv2x,mk6,off,codec-encode,60,477851,7964.2,124.86,7.42,123.26,129.76,163.51,121.88,865.57,0
28,rust-cv2x,mk6,off,codec-encode,60,474040,7900.7,125.91,8.12,124.13,131.88,167.39,122.76,873.94,0
29,rust-cv2x,mk6,off,codec-encode,60,479352,7989.2,124.53,6.85,123.01,129.13,161.64,121.63,523.79,0
30,rust-cv2x,mk6,off,codec-encode,60,478319,7972,124.75,8,123.01,130.39,165.51,121.63,792.06,0
1,rust-cv2x,mk6,off,codec-decode,60,1637537,27292.3,36.07,3.76,35.75,36.13,46.75,34.88,206.27,0
2,rust-cv2x,mk6,off,codec-decode,60,1594582,26576.4,37.02,3.89,36.63,37.13,49.5,35.75,736.68,0
3,rust-cv2x,mk6,off,codec-decode,60,1598223,26637,36.94,3.62,36.63,37.13,48.25,35.63,197.26,0
4,rust-cv2x,mk6,off,codec-decode,60,1616672,26944.5,36.47,3.82,36.13,36.5,49.25,35.25,687.18,0
5,rust-cv2x,mk6,off,codec-decode,60,1583668,26394.5,37.27,4.25,36.88,37.38,51.25,35.88,625.42,0
6,rust-cv2x,mk6,off,codec-decode,60,1611988,26866.5,36.6,3.74,36.25,36.75,47.38,35.38,189.76,0
7,rust-cv2x,mk6,off,codec-decode,60,1621732,27028.9,36.34,3.61,36,36.5,47.25,35.13,186.51,0
8,rust-cv2x,mk6,off,codec-decode,60,1634674,27244.6,36.1,3.99,35.75,36.25,49.25,34.88,652.93,0
9,rust-cv2x,mk6,off,codec-decode,60,1608127,26802.1,36.67,3.66,36.25,36.75,48.38,35.38,192.39,0
10,rust-cv2x,mk6,off,codec-decode,60,1596380,26606.3,36.94,3.6,36.63,37.13,48.75,35.75,184.26,0
11,rust-cv2x,mk6,off,codec-decode,60,1609613,26826.9,36.62,3.66,36.25,36.75,48.5,35.38,183.01,0
12,rust-cv2x,mk6,off,codec-decode,60,1606135,26768.9,36.72,3.71,36.38,36.88,48.63,35.38,217.77,0
13,rust-cv2x,mk6,off,codec-decode,60,1639392,27323.2,35.99,3.73,35.63,36.13,47,34.75,1070.71,0
14,rust-cv2x,mk6,off,codec-decode,60,1582338,26372.3,37.27,3.7,36.88,37.5,48.38,36,192.14,0
15,rust-cv2x,mk6,off,codec-decode,60,1611300,26855,36.61,4.22,36.25,36.75,50.38,35.25,536.54,0
16,rust-cv2x,mk6,off,codec-decode,60,1605870,26764.5,36.71,3.85,36.38,36.88,49.75,35.38,274.52,0
17,rust-cv2x,mk6,off,codec-decode,60,1596767,26612.8,36.97,4,36.63,37.13,50,35.75,739.43,0
18,rust-cv2x,mk6,off,codec-decode,60,1613555,26892.6,36.53,3.59,36.13,36.63,46.5,35.25,189.64,0
19,rust-cv2x,mk6,off,codec-decode,60,1603076,26717.9,36.79,3.8,36.38,36.88,49.5,35.5,254.02,0
20,rust-cv2x,mk6,off,codec-decode,60,1625599,27093.3,36.29,3.64,36,36.38,45.88,35.13,191.14,0
21,rust-cv2x,mk6,off,codec-decode,60,1595352,26589.2,37,3.59,36.63,37.13,48,35.75,269.4,0
22,rust-cv2x,mk6,off,codec-decode,60,1593658,26561,37.08,3.71,36.75,37.25,48.63,35.88,322.52,0
23,rust-cv2x,mk6,off,codec-decode,60,1635247,27254.1,36.07,3.58,35.75,36.13,45.25,35,177.14,0
24,rust-cv2x,mk6,off,codec-decode,60,1618672,26977.9,36.42,4.07,36,36.5,50,35.13,757.31,0
25,rust-cv2x,mk6,off,codec-decode,60,1623264,27054.4,36.35,3.63,36,36.5,47.88,35,427.78,0
26,rust-cv2x,mk6,off,codec-decode,60,1621547,27025.8,36.35,3.83,36,36.5,49,35.13,226.77,0
27,rust-cv2x,mk6,off,codec-decode,60,1630312,27171.9,36.18,4.14,35.75,36.25,49.63,35,699.55,0
28,rust-cv2x,mk6,off,codec-decode,60,1609103,26818.4,36.66,3.6,36.25,36.88,48,35.38,180.51,0
29,rust-cv2x,mk6,off,codec-decode,60,1638407,27306.8,36,3.97,35.63,36.13,49,34.88,471.54,0
30,rust-cv2x,mk6,off,codec-decode,60,1611486,26858.1,36.56,4.36,36.13,36.63,51,35.13,273.9,0
1,rust-cv2x,mk6,on,security-sign,60,34336,572.3,1746.09,37.95,1731.88,1834.14,1872.77,1713.63,1972.03,1746.09
2,rust-cv2x,mk6,on,security-sign,60,34279,571.3,1749,43.37,1731.63,1845.27,1901.65,1714.01,2133.17,1749
3,rust-cv2x,mk6,on,security-sign,60.001,34300,571.7,1747.96,42.92,1731.13,1844.14,1902.65,1713.01,2115.79,1747.96
4,rust-cv2x,mk6,on,security-sign,60.001,34316,571.9,1747.14,39.36,1731.76,1839.02,1877.9,1713.63,2595.45,1747.14
5,rust-cv2x,mk6,on,security-sign,60.001,34313,571.9,1747.22,40.54,1731.26,1839.27,1890.4,1713.76,2073.29,1747.22
6,rust-cv2x,mk6,on,security-sign,60.002,34303,571.7,1747.84,42.02,1732.26,1842.39,1890.77,1713.51,2675.21,1747.84
7,rust-cv2x,mk6,on,security-sign,60.001,34349,572.5,1745.47,37.86,1730.76,1832.89,1874.52,1713.26,1979.4,1745.47
8,rust-cv2x,mk6,on,security-sign,60.001,34278,571.3,1749.07,43.57,1732.01,1843.89,1907.27,1713.51,2247.8,1749.07
9,rust-cv2x,mk6,on,security-sign,60,34329,572.1,1746.45,38.44,1731.88,1836.14,1876.65,1713.01,1957.78,1746.45
10,rust-cv2x,mk6,on,security-sign,60.001,34306,571.8,1747.64,41.25,1731.51,1840.39,1889.27,1713.76,2156.92,1747.64
11,rust-cv2x,mk6,on,security-sign,60.001,34318,572,1747.04,39.15,1731.76,1838.52,1878.27,1713.26,1956.28,1747.04
12,rust-cv2x,mk6,on,security-sign,60.001,34332,572.2,1746.33,38.64,1731.26,1837.14,1879.27,1713.63,1955.4,1746.33
